SrcMac,DstMac,SrcAddr,Sport,DstAddr,Dport,Proto,Mean,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Rate,State,Dur
02:81:ad:3c:c6:14,33:33:00:00:00:fb,fe80::81:adff:fe3c:c614,5353,ff02::fb,5353,17,0.000000,1,1,0,107,107,0,0.000000,INT,0.000000
00:00:00:00:00:02,33:33:00:00:00:02,fe80::200:ff:fe00:2,133,ff02::2,,58,0.000008,2,2,0,140,140,0,125000.000000,NRS,0.000008
00:00:00:00:00:08,33:33:00:00:00:02,fe80::200:ff:fe00:8,133,ff02::2,,58,0.000008,2,2,0,140,140,0,125000.000000,NRS,0.000008
00:00:00:00:00:06,33:33:00:00:00:02,fe80::200:ff:fe00:6,133,ff02::2,,58,0.000004,2,2,0,140,140,0,250000.000000,NRS,0.000004
00:00:00:00:00:0b,33:33:00:00:00:02,fe80::200:ff:fe00:b,133,ff02::2,,58,0.000008,2,2,0,140,140,0,125000.000000,NRS,0.000008
02:81:ad:3c:c6:14,33:33:00:00:00:02,fe80::81:adff:fe3c:c614,133,ff02::2,,58,0.000000,1,1,0,70,70,0,0.000000,NRS,0.000000
00:00:00:00:00:0e,33:33:00:00:00:02,fe80::200:ff:fe00:e,133,ff02::2,,58,0.000005,2,2,0,140,140,0,200000.000000,NRS,0.000005
00:00:00:00:00:0d,33:33:00:00:00:02,fe80::200:ff:fe00:d,133,ff02::2,,58,0.000002,2,2,0,140,140,0,500000.000000,NRS,0.000002
00:00:00:00:00:0c,33:33:00:00:00:02,fe80::200:ff:fe00:c,133,ff02::2,,58,0.000010,2,2,0,140,140,0,100000.000000,NRS,0.000010
00:00:00:00:00:05,33:33:00:00:00:02,fe80::200:ff:fe00:5,133,ff02::2,,58,0.000009,2,2,0,140,140,0,111111.109375,NRS,0.000009
00:00:00:00:00:0a,33:33:00:00:00:02,fe80::200:ff:fe00:a,133,ff02::2,,58,0.000000,1,1,0,70,70,0,0.000000,NRS,0.000000
00:00:00:00:00:07,33:33:00:00:00:02,fe80::200:ff:fe00:7,133,ff02::2,,58,0.000009,2,2,0,140,140,0,111111.109375,NRS,0.000009
00:00:00:00:00:03,33:33:00:00:00:02,fe80::200:ff:fe00:3,133,ff02::2,,58,0.000002,2,2,0,140,140,0,500000.000000,NRS,0.000002
00:00:00:00:00:04,33:33:00:00:00:02,fe80::200:ff:fe00:4,133,ff02::2,,58,0.000009,2,2,0,140,140,0,111111.109375,NRS,0.000009
00:00:00:00:00:01,33:33:00:00:00:02,fe80::200:ff:fe00:1,133,ff02::2,,58,0.000007,2,2,0,140,140,0,142857.140625,NRS,0.000007
00:00:00:00:00:09,33:33:00:00:00:02,fe80::200:ff:fe00:9,133,ff02::2,,58,0.000009,2,2,0,140,140,0,111111.109375,NRS,0.000009
00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,127.239.99.95,,10.0.0.1,,2054,0.000015,2,2,0,84,84,0,66666.671875,INT,0.000015
02:81:ad:3c:c6:14,33:33:00:00:00:fb,fe80::81:adff:fe3c:c614,5353,ff02::fb,5353,17,0.000000,1,1,0,107,107,0,0.000000,REQ,0.000000
00:00:00:00:00:02,ff:ff:ff:ff:ff:ff,10.0.0.2,,10.0.0.1,,2054,0.000190,3,2,1,126,84,42,10526.315430,CON,0.000190
00:00:00:00:00:02,00:00:00:00:00:01,120.100.138.151,2651,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,99.15.81.231,2653,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,61.249.145.167,2654,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,248.23.163.216,2657,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,114.112.115.95,2660,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,197.127.171.81,2662,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,142.223.10.7,2663,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,133.128.135.244,2664,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,51.209.107.87,2666,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,127.239.99.95,2650,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,135.68.148.151,2652,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,87.160.49.3,2655,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,163.59.242.154,2656,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,139.217.95.255,2658,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,120.108.194.25,2659,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,65.44.107.20,2661,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,116.190.96.136,2665,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,116.115.95.209,2667,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,77.138.38.107,2668,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,227.128.163.89,2669,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,195.251.151.120,2670,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,94.186.11.20,2671,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,162.141.249.54,2672,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,231.96.195.59,2673,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,7.100.51.86,2674,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,215.200.3.62,2675,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,62.199.53.95,2676,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,121.38.232.74,2677,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,188.157.215.62,2678,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,230.170.212.205,2679,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,124.44.74.163,2680,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,169.25.137.116,2681,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,169.127.142.81,2682,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,151.104.20.151,2683,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,151.24.205.87,2684,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,12.50.74.138,2685,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,244.239.230.246,2686,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,73.212.152.249,2687,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,137.255.53.154,2688,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,185.145.71.99,2689,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,237.120.75.96,2690,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,128.68.93.52,2691,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,75.114.195.160,2692,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,90.192.0.15,2693,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,125.239.163.248,2694,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,118.139.210.101,2695,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,192.204.169.68,2696,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
00:00:00:00:00:02,00:00:00:00:00:01,30.20.12.119,2697,10.0.0.1,80,6,0.000000,1,1,0,54,54,0,0.000000,s,0.000000
